,@Perfil,NumeroSeguidores,NumeroPostagens,url,relacaoSegPost
0,oliberal,340000,23408.0,https://www.instagram.com/oliberal/,14.524948735475052
1,2wenergia,13200,203.0,https://www.instagram.com/2wenergia/,65.02463054187191
2,comercenergia,6778,276.0,https://www.instagram.com/comercenergia/,24.557971014492754
3,grupocontrolengenharia,4269,703.0,https://www.instagram.com/grupocontrolengenharia/,6.072546230440968
4,eng_ambiental_uniaraguaia,4070,2571.0,https://www.instagram.com/eng_ambiental_uniaraguaia/,1.5830416180474522
5,head.energia,3647,311.0,https://www.instagram.com/head.energia/,11.72668810289389
6,emeweenergia,2546,1394.0,https://www.instagram.com/emeweenergia/,1.8263988522238164
7,agrouniaraguaia,2173,1297.0,https://www.instagram.com/agrouniaraguaia/,1.6754047802621435
8,leadenergy1,1538,391.0,https://www.instagram.com/leadenergy1/,3.9335038363171355
9,vemsercomerc,1466,190.0,https://www.instagram.com/vemsercomerc/,7.71578947368421
10,sion_energia,1439,144.0,https://www.instagram.com/sion_energia/,9.993055555555555
11,merxenergia,1360,74.0,https://www.instagram.com/merxenergia/,18.37837837837838
12,civil_uniaraguaia,1277,746.0,https://www.instagram.com/civil_uniaraguaia/,1.7117962466487935
13,grupoelectra,1267,665.0,https://www.instagram.com/grupoelectra/,1.9052631578947368
14,abrangesolucoestec,1258,129.0,https://www.instagram.com/abrangesolucoestec/,9.751937984496124
15,tradener,1024,212.0,https://www.instagram.com/tradener/,4.830188679245283
16,witzler.energia,978,381.0,https://www.instagram.com/witzler.energia/,2.5669291338582676
17,sergio.santos_2wenergia,922,240.0,https://www.instagram.com/sergio.santos_2wenergia/,3.841666666666667
18,perfilenergia,861,240.0,https://www.instagram.com/perfilenergia/,3.5875
19,rbeenergia,768,69.0,https://www.instagram.com/rbeenergia/,11.130434782608695
20,newcom.energia,717,155.0,https://www.instagram.com/newcom.energia/,4.625806451612903
21,grupo_engevoltt_engenharia,645,50.0,https://www.instagram.com/grupo_engevoltt_engenharia/,12.9
22,meritoenergia,588,373.0,https://www.instagram.com/meritoenergia/,1.5764075067024128
23,pontoon.tech,562,166.0,https://www.instagram.com/pontoon.tech/,3.3855421686746987
24,institutototum,528,259.0,https://www.instagram.com/institutototum/,2.0386100386100385
25,vagnerpbarbosa,438,176.0,https://www.instagram.com/vagnerpbarbosa/,2.4886363636363638
26,wave2w,410,57.0,https://www.instagram.com/wave2w/,7.192982456140351
27,apsapocossustentavel,365,358.0,https://www.instagram.com/apsapocossustentavel/,1.0195530726256983
28,paeselimacomunicacao,312,154.0,https://www.instagram.com/paeselimacomunicacao/,2.0259740259740258
29,comercfuturo,294,37.0,https://www.instagram.com/comercfuturo/,7.945945945945946
30,vektorenergia,283,281.0,https://www.instagram.com/vektorenergia/,1.00711743772242
31,dovale_agente2w,265,78.0,https://www.instagram.com/dovale_agente2w/,3.3974358974358974
32,trixenergia,186,288.0,https://www.instagram.com/trixenergia/,0.6458333333333334
33,bestdealtechnologies,132,21.0,https://www.instagram.com/bestdealtechnologies/,6.285714285714286
34,cavalcante_agente2w,48,26.0,https://www.instagram.com/cavalcante_agente2w/,1.8461538461538463
35,customenergia,32,33.0,https://www.instagram.com/customenergia/,0.9696969696969697
